;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0921tommy_sem1_num41lado1;5.8;49.38188298504785;62.7772125459017;38.02910027749185;34.36606601653506;80.60198956765561;62.21551233423321;62.35811023622046;119.88236603921406;138.28474527348823
0923tommy_sem1_num42lado1;6.4;45.70940110061151;53.886602995750884;38.01554349655056;34.2107867927907;63.56164682777851;53.40970055030135;53.652200107812156;122.66258213181628;135.03574935504756
0925tommy_sem1_num43lado1;5.5;48.05355402643088;54.747091439949294;36.8560743897163;30.786396982728878;71.2669985971529;54.59489876947143;54.84767742050882;122.63021870616105;136.4387438769174
0927tommy_sem1_num44lado1;6.4;53.20272935191019;65.28764235854648;37.30286541867451;34.62106591865358;93.4027536231884;64.8646276572379;65.36902871480835;119.34668302945299;140.77139083683966
0929tommy_sem1_num45lado1;5.8;53.0224382818771;59.733788035973994;37.15805970040208;30.087561881188122;82.6222783736707;59.50362761260586;60.50317333320244;121.94351240679623;138.83749312431243
0931tommy_sem1_num46lado1;6.0;48.53433654101889;62.011215139984934;37.80541820775414;35.00310130010834;82.27808775731313;61.672716574361104;61.72535910966249;119.67048347778982;138.4171338931022
0933tommy_sem1_num47lado1;5.4;50.132031488065;60.60402146269158;37.60999122911228;32.38563710536955;74.59852622294095;60.15660000866461;60.60782608695652;121.33591091183064;137.66685104193465
0935tommy_sem1_num48lado1;5.8;52.15111664173472;60.22645087539221;37.32985287763339;29.289111695416413;78.49549153880974;60.10253453772582;60.82086850828143;121.84110876746895;138.14256407292902
1041tommy_sem2_num41lado1;6.5;47.74733628401182;57.00423854345552;37.13837186910879;32.035438937479746;65.73716263447734;57.17406797705184;57.11105614642592;122.2491262169028;135.9639523980018
1043tommy_sem2_num42lado1;6.7;49.362326898460026;56.98853569702187;38.19371520551704;30.022514890400604;61.3412269085412;56.914371818507604;57.60897467414341;122.94882418745277;135.66764323507178
1045tommy_sem2_num43lado1;5.7;61.330736976563365;58.15266019632743;36.82439677946912;22.545105065971647;82.06802501312194;63.366882414075526;61.25305202268336;126.44717199688694;138.14480461892092
1047tommy_sem2_num44lado1;5.5;58.9038222539713;78.61457801191753;32.85615339156518;30.75806651031803;109.46603015108248;78.48613811934548;78.29089466175519;116.2930235144426;145.43665034491556
1049tommy_sem2_num45lado1;5.6;51.23328891987444;62.06127361258632;34.223755872448336;29.298713221485162;84.24111143883077;62.174154816827105;62.15538718507131;120.95007634638088;139.1709336557462
1051tommy_sem2_num46lado1;5.7;46.869025276316655;62.194392225684965;33.915669065614374;32.98190072527965;85.50623269970923;62.1997415751412;61.58533341803341;119.27863310701277;139.12946517518094
1053tommy_sem2_num47lado1;5.7;53.52257816530743;60.35084289776562;35.04945362047725;27.56644898468389;81.26146309162795;61.080899281111954;61.05632776684439;122.62045682827276;138.49310327178742
1055tommy_sem2_num48lado1;5.6;51.57822186309298;52.60057875726771;35.35004415201043;24.59365728116855;71.19185515741931;54.26943005181347;53.82393160753417;125.3551874496991;135.8705652620452
1161tommy_sem3_num41lado1;6.0;49.97176064103043;64.61007518634489;31.017060605706547;32.26260125010125;100.06298937548937;64.65001866559903;64.25593038212787;118.5598793098793;141.92994201744204
1163tommy_sem3_num42lado1;5.9;54.18019208569396;61.416303029713404;30.41146723097529;26.97270133703529;101.22169881828206;63.203477418004226;62.31712438566879;121.53901060762772;141.63920707381357
1165tommy_sem3_num43lado1;6.0;54.74726253178047;50.878510078905144;31.660651316304712;21.254512332426554;90.56921201921095;56.9591045446302;53.49219901256442;126.74758328263296;138.01922029444285
