sst
5.3
5.9
6.1
6.0
6.2
5.8
6.0
6.1
6.0
5.6
5.5
6.1
6.3
5.7
5.4
6.1
5.2
5.8
5.6
5.2
5.2
6.1
5.8
6.1
5.8
6.7
5.7
6.6
5.1
6.0
6.1
6.3
6.7
5.9
5.3
6.0
5.7
6.0
5.1
6.3
5.8
6.4
5.5
6.4
5.8
6.0
5.4
5.8
5.1
6.1
6.0
6.1
6.3
5.2
5.4
6.6
4.8
6.0
5.1
6.2
5.7
6.1
6.5
6.5
5.5
6.9
5.8
5.6
5.8
5.8
5.8
5.9
6.5
6.2
6.4
5.7
5.8
6.3
5.6
5.5
5.6
5.7
5.7
5.7
6.1
6.3
6.7
6.4
6.6
6.4
5.8
5.7
6.5
6.5
5.8
5.5
6.6
6.5
6.4
6.3
6.5
6.7
5.7
5.5
5.6
5.7
5.7
5.6
6.2
5.5
6.4
5.6
5.8
6.5
5.9
5.6
5.6
6.5
6.4
5.8
6.7
5.8
6.2
5.8
5.4
6.0
5.9
5.9
6.0
5.9
6.8
5.8
5.9
9.1
5.8
5.3
5.1
5.8
6.7
6.0
6.0
6.9
5.9
5.8
6.6
5.9
7.0
6.1
6.1
5.9
5.9
5.7
6.2
6.0
5.8
5.7
5.8
6.1
6.2
5.8
6.0
5.9
6.0
6.6
6.8
6.0
6.4
5.4
6.7
5.0
5.7
5.8
5.7
5.6
5.2
6.3
6.3
6.1
5.7
5.8
6.2
5.8
7.8
5.8
6.0
6.4
5.8
5.6
5.8
5.8
5.8
6.2
5.8
6.8
6.6
6.2
6.6
5.8
5.8
5.8
5.8
6.2
6.6
6.8
5.8
6.6
6.8
6.6
6.8
6.4
6.4
6.8
6.6
6.6
5.8
5.8
6.2
6.6
6.8
6.8
5.8
6.6
6.0
6.2
5.8
6.8
5.8
6.2
6.6
6.6
6.0
6.2
5.8
5.8
6.0
6.4
6.0
6.2
6.2
6.0
6.6
6.6
6.2
6.4
5.8
6.0
6.0
6.0
9.2
5.8
6.0
6.0
6.0
6.4
6.0
6.2
6.0
6.0
6.0
6.2
6.4
6.2
6.2
6.0
6.0
6.0
5.8
6.2
6.4
6.0
5.8
6.0
6.0
6.2
6.6
6.0
5.8
6.0
6.4
6.0
5.8
6.8
6.0
5.8
5.8
5.6
5.4
5.6
6.4
6.2
6.0
6.6
5.8
5.4
6.6
6.4
6.4
6.0
5.8
6.0
5.7
5.8
5.8
5.7
6.0
5.7
6.2
5.9
5.7
5.8
5.7
5.9
5.9
5.9
5.8
5.9
5.7
5.8
5.7
6.1
5.9
6.0
5.8
5.9
5.7
5.8
5.9
5.9
5.9
6.0
7.2
7.0
6.1
6.7
5.4
6.1
6.0
6.1
6.3
6.0
6.2
7.0
6.1
6.1
6.3
4.9
6.2
6.0
5.8
5.9
5.9
6.1
6.5
5.3
5.9
6.0
6.1
5.6
5.9
6.1
6.1
7.0
5.4
6.9
6.0
6.0
7.1
6.0
6.0
6.9
5.8
5.8
6.4
6.8
7.0
6.8
7.2
6.4
6.8
6.6
6.6
7.2
6.6
6.0
6.6
6.4
6.8
6.2
6.6
6.4
6.6
6.2
6.4
6.6
6.8
6.6
6.6
6.4
6.8
6.8
7.4
7.2
6.6
7.0
6.2
6.2
6.4
6.6
6.6
6.6
6.0
6.0
11.6
6.0
6.2
6.6
6.0
7.0
6.4
9.4
