;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
1207tommy_sem4_num4lado1;5.8;52.08315184549924;45.99322072933176;28.964047342739374;22.422948044538003;98.51017076025629;53.064697464378426;48.38038620837674;127.97752821519128;137.72813412289668
1209tommy_sem4_num5lado1;6.0;52.90678169063742;73.9159069378276;28.12699667589993;33.44222797188841;121.81879641905088;73.88932726680216;72.99414458061291;115.02670411077374;146.65832679962176
1211tommy_sem4_num6lado1;6.4;52.15182051249625;60.824234040131294;26.680493838784308;28.477894148170854;114.00271929992591;61.59787840027054;61.157246842803794;120.38951623545236;143.40399522386534
1213tommy_sem4_num7lado1;5.8;48.930833480996206;42.73891228939544;27.95314118728855;21.66832856551803;94.00003281522235;49.51447435030509;44.57367370847491;128.31295633668594;136.4511438987411
1215tommy_sem4_num8lado1;5.6;52.40353284648094;52.24824866765501;27.876680569300145;23.14995466229582;101.09273782135463;55.32416036956113;53.773478694427155;124.72478532473644;139.98566822509883
1321tommy_sem5_num1lado1;6.6;51.76638675372861;62.841460398423564;26.272931892685605;29.274962955844607;112.11838998195844;63.76725437450153;62.868190141880504;119.68815854123524;143.46532128442468
1323tommy_sem5_num2lado1;6.6;40.65184847880443;26.72760671076541;25.39169675359255;32.39979036993962;82.30210722041043;40.56386414087621;28.56489370884839;133.05694263549722;130.7810006321397
1325tommy_sem5_num3lado1;6.2;48.11809936655402;56.15098347344206;26.63566392557581;27.847081142281322;102.42210786146455;57.180744398181545;56.17339246785856;121.3922058916551;140.89037578938485
1327tommy_sem5_num4lado1;6.4;45.10373557043194;46.66956953120504;26.663815763685538;30.00751482374666;94.51126934187864;49.86490581104472;47.0417914529119;124.65711769113271;137.75432002197462
1329tommy_sem5_num5lado1;5.8;41.91152453112493;36.42297160492708;24.098144394585905;34.687834712575736;95.38941813211171;43.76581480510749;37.19383245393613;128.31690187675483;135.12687010492095
1331tommy_sem5_num6lado1;6.0;44.53388954786891;35.49695425144599;24.99834117557594;14.777036320300464;90.82112868699659;45.092258942005024;37.17067271127177;129.93676270569014;134.73556149875557
1333tommy_sem5_num7lado1;6.0;46.6272447127153;63.311004393768854;23.934824830248928;33.529892271234594;124.95154684302679;63.22972569071405;62.10829913734406;116.7229769212919;145.01428021433242
