ind;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
1311tommy_sem4_num56;6.4;49.14053203;62.27230023;26.74905551;30.65436899;110.9200156;62.38457738;61.71669327;118.7052752;143.2915572
1313tommy_sem4_num57;6.0;52.22308042;52.98091359;28.49272572;29.20929528;101.7100631;57.35694326;54.36325596;124.56581010000001;139.9130483
1315tommy_sem4_num58;6.2;59.6239581;63.7563885;29.37059821;24.64887971;115.16338710000001;68.37179366;65.43972441;122.3255916;143.8958871
1317tommy_sem4_num59;6.2;49.04118386;48.88751416;27.7700988;22.29380626;99.17952395;55.96014158;50.12492284;125.6005393;138.2690757
1319tommy_sem4_num60;6.0;57.17355464;71.79278317;28.17281848;30.54419684;120.8948308;72.06404419;71.70780604;117.3796527;146.6044455
1417tommy_sem5_num49;6.4;56.19558918;75.64437453;26.04942005;31.98414329;128.73628490000002;75.63334578;75.02340233;115.2614976;148.2124385
1419tommy_sem5_num50;6.2;49.12510075;37.33517155;29.29646342;47.59786579;87.70780186;49.5686409;40.39814992;131.533973;133.7640002
1421tommy_sem5_num51;6.0;52.34056034;58.92513679;25.84085645;26.10428895;112.61338880000001;60.77114841;59.290686;121.57158270000001;142.8026069
1423tommy_sem5_num52;6.6;48.92247721;44.94876098;26.56336817;27.81185299;99.55019658;51.71447076;46.56103647;127.0136666;137.8184725
1425tommy_sem5_num53;5.8;49.17139034;64.31466195;25.59362613;32.5844857;121.038606;64.27520051;63.64232116;117.358725;144.85672490000005
1427tommy_sem5_num54;5.4;49.27993603;58.10319377;25.34858798;27.47558675;112.7756686;59.87777247;58.1001688;120.67885520000002;142.49444069999996
1429tommy_sem5_num55;6.6;51.45569003;53.62766273;24.89741402;24.09045107;111.6530178;58.09676292;54.90209701;123.5673043;141.4269522
1431tommy_sem5_num56;6.4;51.76665985;52.46884151;25.98212643;26.25614617;113.3809112;59.2832086;53.81694685;124.6230395;140.78648859999996
1433tommy_sem5_num57;6.4;51.05825116;48.98639063;26.67473157;35.52334443;110.23420449999999;57.84125989999999;50.95688445;126.0326588;139.64922980000003
1435tommy_sem5_num58;6.0;48.85993943;45.63472678;25.53150585;31.88579345;99.72830713;54.35774727;47.21089094;127.31747340000001;137.4473981
1437tommy_sem5_num59;5.8;48.09742443;45.04751847;26.51618052;33.79573365;102.4872927;52.19818479;46.49833389;126.77026770000002;137.9097741
1439tommy_sem5_num60;6.0;46.48193284;46.4366752;26.44388689;25.94393639;95.64758776;49.34923734;47.00780045;125.25836909999998;138.08666200000002
1537tommy_sem6_num49;5.8;48.31710397;55.93354307;23.81638171;26.25268782;115.5430455;58.74136137;55.88041996;121.15619790000001;142.4201233
1539tommy_sem6_num50;5.9;46.37872229;49.99386444;23.71507509;26.63502528;114.2571166;55.27056054;50.14615773;123.3722134;140.4628084
1541tommy_sem6_num51;5.9;44.04508454;40.57963849;24.29078717;26.7463064;96.81111239;45.60184857;41.23621177;127.0687415;136.71772119999997
1543tommy_sem6_num52;6.1;50.00020486;58.54062863;24.82930115;28.16391091;116.59559569999999;60.10425106;58.60903731;120.4554754;143.26779969999996
1545tommy_sem6_num53;6.5;47.63900214;55.68914451;24.39955404;27.00283476;114.2669737;58.33563579;55.58114884;120.9708497;142.2115488
1547tommy_sem6_num54;5.3;53.90330747;60.71754350000001;26.05831457;27.32007727;115.7282815;62.73617088;61.36954132;121.18788359999999;143.6840167
1549tommy_sem6_num55;5.9;46.09158278;37.96384673;26.66699251;47.33450468;95.98631833;48.03775024;40.00901489;129.6293097;135.1162855
1551tommy_sem6_num56;6.0;49.27739769;52.48438023;24.87330562;27.90893251;107.6308524;55.40310202;53.06629722;123.3653193;140.70172230000003
1553tommy_sem6_num57;6.1;45.82437306;49.18944617;23.71938143;30.04722694;110.1912548;55.02123621;49.35147405;123.9831959;139.6092863
1555tommy_sem6_num58;5.6;48.93923702;55.71351481;23.08418701;29.07045837;120.95117900000001;56.75932294;55.71354918;121.1265655;143.1778988
