ind;time;RG_rate;RB_rate;SH_rate
0001palmer_sem1_num1;35;0.9420321961721624;1.6468601805107852;0.2755216221198706
0003palmer_sem1_num2;35;0.8762820134231706;1.6232653102300243;0.29071710845325005
0005palmer_sem1_num3;35;0.8189174489378283;1.5393734023034746;0.34140881441916937
0007palmer_sem1_num4;35;0.9185828641069932;1.4795028222386732;0.3529377070990555
0009palmer_sem1_num5;35;0.7966301820198346;1.8586860980118285;0.27633928138225305
0011palmer_sem1_num6;35;0.811189615338237;1.8231767373461587;0.28167253906531164
0013palmer_sem1_num7;35;0.8105245664542868;1.43858878731312;0.3798225117532224
0015palmer_sem1_num8;35;0.7953477577016532;1.5791481043542266;0.3333335968725153
0017palmer_sem1_num9;35;0.9172945004708596;1.6491763271557738;0.27643622707426346
0019palmer_sem1_num10;35;0.8344623685297826;1.575413286194604;0.326241257857409
0021palmer_sem1_num11;35;0.8303083447990878;1.5493981269722008;0.3400669793865309
0023palmer_sem1_num12;35;0.8520983122411887;1.504241193753331;0.34956764820425057
0025palmer_sem1_num13;35;0.8284332204325866;1.5424892506238181;0.3447845791626807
0027palmer_sem1_num14;35;0.8427396390825677;1.6612554963526995;0.2980833838519257
0029palmer_sem1_num15;35;0.8015080969876651;1.6078187306031744;0.33645710381543603
0031palmer_sem1_num16;35;0.8737840250443931;1.7733753534203676;0.2746860957448716
0033palmer_sem1_num17;35;0.8384399916968911;1.504397413557481;0.3591255042433659
0035palmer_sem1_num18;35;0.8679455881534681;1.4436881096169794;0.3805481142935529
0037palmer_sem1_num19;35;0.8661135270054985;1.5233799060579143;0.3424329846571136
0039palmer_sem1_num20;35;0.8778024756091847;1.677192970966081;0.2849031992470919
0041palmer_sem1_num21;35;0.8661040554306703;1.4988952520357437;0.3421838210209304
0043palmer_sem1_num22;35;0.8891303972731526;1.7071679259331318;0.2769294358611029
0045palmer_sem1_num23;35;0.8165282805171563;1.6774850820136655;0.3115857947575652
0047palmer_sem1_num24;35;0.8735929639482932;1.5405873442650884;0.3204503420267864
0049palmer_sem1_num25;35;0.8325379575281384;1.7539949376668018;0.2901005470705945
0051palmer_sem1_num26;35;0.8859580146824264;1.484117464575326;0.3468878300939879
0053palmer_sem1_num27;35;0.9636327242017844;1.7225956954712989;0.24912831325618545
0055palmer_sem1_num28;35;0.9060913305601904;1.7767589447305905;0.2670025304824609
0057palmer_sem1_num29;35;0.8020059456638307;1.5707726546355696;0.33450458491231594
0059palmer_sem1_num30;35;0.8963940334201183;1.5202915242289112;0.32131723934039985
0061palmer_sem1_num31;35;0.7992363790380405;1.4411594989254648;0.3792074539726672
0063palmer_sem1_num32;35;0.8504610088828777;1.5283351005276558;0.3438565965929075
0065palmer_sem1_num33;35;0.9090936055987606;1.7550816342677364;0.27260000575092513
0067palmer_sem1_num34;35;0.8400964086390873;1.6258157144477656;0.3208764627829068
