;area;height;width;diameter
0080palmer_sem1_num40lado2;1109865.0;1720.0;915.0;1188.7489252644948
0081palmer_sem1_num41lado1;1188909.0;1744.0;977.0;1230.351963420036
0082palmer_sem1_num41lado2;1188168.0;1671.0;933.0;1229.9684887788342
0083palmer_sem1_num42lado1;1229163.0;1764.0;1005.0;1251.007169653838
0084palmer_sem1_num42lado2;1239486.0;1718.0;991.0;1256.249414067767
0085palmer_sem1_num43lado1;1231948.0;1750.0;1017.0;1252.4236146996727
0086palmer_sem1_num43lado2;1256359.0;1678.0;1003.0;1264.7711101950124
0087palmer_sem1_num44lado1;1495906.0;2054.0;1080.0;1380.0893718910374
0088palmer_sem1_num44lado2;1470993.0;1966.0;1043.0;1368.5490336953994
0089palmer_sem1_num45lado1;1182424.0;1718.0;988.0;1226.9918481570814
0090palmer_sem1_num45lado2;1180939.0;1640.0;981.0;1226.2211198311659
0091palmer_sem1_num46lado1;1139232.0;1762.0;959.0;1204.3733777478349
0092palmer_sem1_num46lado2;1142103.0;1696.0;930.0;1205.8900048348785
0093palmer_sem1_num47lado1;1386937.0;1883.0;1080.0;1328.8728435995495
0094palmer_sem1_num47lado2;1389083.0;1809.0;1038.0;1329.9005250466496
0095palmer_sem1_num48lado1;1189630.0;1790.0;997.0;1230.7249731777167
0096palmer_sem1_num48lado2;1197021.0;1713.0;967.0;1234.5422119467723
0097palmer_sem1_num49lado1;1476203.0;1929.0;1110.0;1370.970472204519
0098palmer_sem1_num49lado2;1487498.0;1897.0;1062.0;1376.2053903086069
0099palmer_sem1_num50lado1;1448918.0;1959.0;1039.0;1358.2413977929632
0100palmer_sem1_num50lado2;1446739.0;1891.0;1019.0;1357.2196969211009
0101palmer_sem1_num51lado1;1460686.0;2063.0;1086.0;1363.746009211769
0102palmer_sem1_num51lado2;1460855.0;2025.0;1014.0;1363.8248989969666
0103palmer_sem1_num52lado1;1302149.0;1927.0;975.0;1287.6131406355512
0104palmer_sem1_num52lado2;1313898.0;1892.0;961.0;1293.409019354837
0105palmer_sem1_num53lado1;1277566.0;1845.0;1002.0;1275.4009378266596
0106palmer_sem1_num53lado2;1276260.0;1768.0;971.0;1274.7488777652243
0107palmer_sem1_num54lado1;1399970.0;1886.0;1064.0;1335.101930731465
0108palmer_sem1_num54lado2;1388287.0;1795.0;1039.0;1329.5194274029036
0109palmer_sem1_num55lado1;1505826.0;1854.0;1078.0;1384.6577955185792
0110palmer_sem1_num55lado2;1528223.0;1770.0;1176.0;1394.9171863497147
0111palmer_sem1_num56lado1;1210484.0;1727.0;993.0;1241.465302402447
0112palmer_sem1_num56lado2;1208794.0;1693.0;956.0;1240.598372656758
0113palmer_sem1_num57lado1;1370069.0;1811.0;1074.0;1320.7672125759937
0114palmer_sem1_num57lado2;1373738.0;1728.0;1047.0;1322.5345158843277
0115palmer_sem1_num58lado1;1170326.0;1772.0;966.0;1220.6987111616543
0116palmer_sem1_num58lado2;1191383.0;1677.0;950.0;1231.631417480576
0117palmer_sem1_num59lado1;1442878.0;1903.0;1111.0;1355.4074397864217
0118palmer_sem1_num59lado2;1432881.0;1808.0;1077.0;1350.7037988025593
0119palmer_sem1_num60lado1;1324881.0;1912.0;1030.0;1298.8036346069666
0120palmer_sem1_num60lado2;1324936.0;1866.0;991.0;1298.8305930502358
0121palmer_sem2_num1lado1;2104192.0;2440.0;1282.0;1636.8080107683281
0122palmer_sem2_num1lado2;2132833.0;2415.0;1228.0;1647.9099847734801
0123palmer_sem2_num2lado1;2376413.0;2398.0;1437.0;1739.4662992489168
0124palmer_sem2_num2lado2;2334756.0;2302.0;1370.0;1724.1530287383687
0125palmer_sem2_num3lado1;2507958.0;2646.0;1369.0;1786.9614719223548
0126palmer_sem2_num3lado2;2479314.0;2544.0;1295.0;1776.727505448012
0127palmer_sem2_num4lado1;2163050.0;2404.0;1301.0;1659.5423457204681
0128palmer_sem2_num4lado2;2200848.0;2409.0;1291.0;1673.9793026054094
0129palmer_sem2_num5lado1;2673916.0;2582.0;1501.0;1845.1383662208284
0130palmer_sem2_num5lado2;2646227.0;2475.0;1401.0;1835.5600945613019
0131palmer_sem2_num6lado1;2327453.0;2560.0;1360.0;1721.454384557572
0132palmer_sem2_num6lado2;2351269.0;2509.0;1286.0;1730.239483744924
0133palmer_sem2_num7lado1;2433253.0;2515.0;1397.0;1760.1460001788116
0134palmer_sem2_num7lado2;2458787.0;2412.0;1371.0;1769.3571828437402
0135palmer_sem2_num8lado1;2475118.0;2545.0;1449.0;1775.2233987545924
0136palmer_sem2_num8lado2;2399713.0;2397.0;1315.0;1747.9729653558866
0137palmer_sem2_num9lado1;2440146.0;2483.0;1399.0;1762.637337096695
0138palmer_sem2_num9lado2;2498514.0;2404.0;1351.0;1783.5937956481096
0139palmer_sem2_num10lado1;2314465.0;2432.0;1360.0;1716.6445068520939
0140palmer_sem2_num10lado2;2325375.0;2269.0;1337.0;1720.6857372392349
0141palmer_sem2_num11lado1;2597172.0;2566.0;1455.0;1818.4669628230565
0142palmer_sem2_num11lado2;2613640.0;2400.0;1437.0;1824.2230685148158
0143palmer_sem2_num12lado1;2405797.0;2500.0;1385.0;1750.1873833979093
0144palmer_sem2_num12lado2;2355297.0;2464.0;1292.0;1731.720901299079
0145palmer_sem2_num13lado1;2467520.0;2562.0;1435.0;1772.496556110874
0146palmer_sem2_num13lado2;2461780.0;2426.0;1330.0;1770.433745283378
0147palmer_sem2_num14lado1;2733959.0;2614.0;1515.0;1865.7397225992163
0148palmer_sem2_num14lado2;2736538.0;2436.0;1497.0;1866.6195105780055
0149palmer_sem2_num15lado1;2516481.0;2537.0;1468.0;1789.9952856850452
