;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy5_IMG_0364_20170719;136.69291686314014;138.7811825180577;131.8025704424404;68.605449604999;35.63626200497614;139.9938832000886;144.89583255190473;125.77949625092879;132.04922564889833
tommy5_IMG_0369_20170719;135.49883829473524;133.73208407457417;131.20981821514562;68.17699112475708;30.502328154917553;136.50389798918323;140.28177612472138;128.3036453533129;130.06174960526693
tommy5_IMG_0374_20170719;138.5409380961184;139.41942008619827;134.2678630115455;69.20498664203603;29.477571156889432;140.88595719200103;145.904928994931;126.64133403483297;131.14426885743526
tommy5_IMG_0379_20170719;140.43249176820774;139.69080806639732;135.8886365990798;71.48493567502929;30.002275799200532;142.1105689671032;146.42470779035207;127.64558160168752;130.62664574447373
tommy5_IMG_0384_20170719;137.34062662983683;137.93918308559813;133.5301834057606;68.55530030748099;29.21754553942687;139.34481536628016;144.388068891193;126.84078207831433;130.8012566376779
tommy5_IMG_0389_20170719;138.07441276756117;137.789134168167;134.05179878168582;67.97504948675768;28.962222615169182;139.5417401209562;144.31282395797612;127.39386697986325;130.51838444769518
tommy5_IMG_0394_20170719;132.3743037471065;132.9486747082369;127.91549061660523;65.99322847454418;33.70807384321773;134.06892697125414;138.97877277082975;126.70298880815615;131.2115156455404
tommy5_IMG_0399_20170719;132.52136531876928;132.8455029118263;128.0188092657786;67.61487067579732;32.35349592183571;134.04812857894305;139.05153655657008;126.86268820149962;131.1245538042624
tommy5_IMG_0404_20170719;139.81140276259575;136.89597666966736;136.1549039892154;66.4217453386667;23.741855337023463;140.48956926761832;143.88220030649862;129.16788390917924;129.1765915914709
tommy5_IMG_0409_20170719;137.52982037635388;139.19752165450316;132.77777001930798;71.56852230286566;32.50161426406393;140.49420364163595;145.5974987363183;126.07143468730352;131.77333663989268
tommy5_IMG_0414_20170719;135.2719434643097;132.7501956362347;132.45469115038796;69.71748972309742;23.8020373964942;135.97472547296525;139.4109075936107;129.0718305925283;128.76522278753
