ind;time;bcd;cd;dd
0183palmer_sem2_num32;50;1.050928386;-0.023927067;-1.067688822
0185palmer_sem2_num33;50;1.063175444;-0.023955292;-1.084542334
0187palmer_sem2_num34;50;1.034727986;-0.024059111;-1.068114965
0189palmer_sem2_num35;50;1.042158758;-0.023681568;-1.078834554
0191palmer_sem2_num36;50;1.048952823;-0.024035923;-1.107823976
0193palmer_sem2_num37;50;1.053868486;-0.02401932;-1.062672856
0195palmer_sem2_num38;50;1.050266667;-0.024294924;-1.074769803
0197palmer_sem2_num39;50;1.017873097;-0.024029745;-1.121403652
0199palmer_sem2_num40;50;1.027197958;-0.02409987;-1.001554034
0201palmer_sem2_num41;50;1.034951823;-0.023773849;-1.09864879
0203palmer_sem2_num42;50;1.040200382;-0.023974774;-1.012118384
0205palmer_sem2_num43;50;1.016587356;-0.023762074;-1.117090126
0207palmer_sem2_num44;50;1.058907131;-0.024024002;-1.039872546
0209palmer_sem2_num45;50;1.029752822;-0.024035033;-1.040104213
0211palmer_sem2_num46;50;1.036764886;-0.02372689;-1.104702672
0213palmer_sem2_num47;50;1.024938869;-0.023721217;-1.161964039
0215palmer_sem2_num48;50;1.054951018;-0.02416381;-1.080950793
0217palmer_sem2_num49;50;1.041256384;-0.02381418;-1.130611466
0219palmer_sem2_num50;50;1.057720326;-0.024107586;-1.081753469
0221palmer_sem2_num51;50;1.0328396;-0.024055503;-1.090268733
0223palmer_sem2_num52;50;1.052824678;-0.024230689;-0.991321255
0225palmer_sem2_num53;50;1.045117298;-0.024116219;-1.045094117
0227palmer_sem2_num54;50;1.041200868;-0.023949373;-1.053020011
0229palmer_sem2_num55;50;1.045627169;-0.023931302;-1.05731104
0231palmer_sem2_num56;50;1.04833208;-0.023919565;-1.09044395
0233palmer_sem2_num57;50;1.030453188;-0.023600414;-1.098436492
0235palmer_sem2_num58;50;1.047176778;-0.024051552;-1.069679331
0237palmer_sem2_num59;50;1.044485401;-0.023870578;-1.007988551
0239palmer_sem2_num60;50;1.046649996;-0.023745459;-1.048682296
0241palmer_sem3_num1;65;1.046417912;-0.023462891;-0.979896235
0243palmer_sem3_num2;65;1.036958515;-0.023494776;-1.027990019
0245palmer_sem3_num3;65;1.036510384;-0.023490639;-1.05774309
0247palmer_sem3_num4;65;1.076864143;-0.023383279;-0.991190401
0249palmer_sem3_num5;65;1.04044606;-0.023373899;-1.019049668
0251palmer_sem3_num6;65;1.04859947;-0.023371035;-0.97864698
0253palmer_sem3_num7;65;1.038505717;-0.023131606;-1.028069203
0255palmer_sem3_num8;65;1.034707516;-0.023278321;-1.019214709
0257palmer_sem3_num9;65;1.038755298;-0.023453473;-1.028129993
0259palmer_sem3_num10;65;1.047335492;-0.023450565;-1.025766546
