;RG_rate;RB_rate;SH_rate
0001palmer_sem1_num1lado1;0.8404426808414192;1.6252321779370693;0.3030357375855707
0002palmer_sem1_num1lado2;1.0436217115029058;1.668488183084501;0.2480075066541705
0003palmer_sem1_num2lado1;0.7954683675865408;1.6484593332647386;0.31187218732308003
0004palmer_sem1_num2lado2;0.9570956592598002;1.5980712871953102;0.2695620295834201
0005palmer_sem1_num3lado1;0.8826948801782702;1.487476713551834;0.3604826978891285
0006palmer_sem1_num3lado2;0.7551400176973863;1.5912700910551154;0.32233493094921023
0007palmer_sem1_num4lado1;0.9330152047141547;1.6005681259105455;0.2985875049584408
0008palmer_sem1_num4lado2;0.9041505234998316;1.3584375185668012;0.40728790923967023
0009palmer_sem1_num5lado1;0.8094973655390151;1.7681208741994099;0.285479450925903
0010palmer_sem1_num5lado2;0.783762998500654;1.9492513218242464;0.26719911183860307
0011palmer_sem1_num6lado1;0.8144949423821329;1.7284045945841926;0.2931121662329129
0012palmer_sem1_num6lado2;0.807884288294341;1.9179488801081248;0.27023291189771037
0013palmer_sem1_num7lado1;0.7766416412597207;1.4722906341154658;0.3585398772180188
0014palmer_sem1_num7lado2;0.844407491648853;1.404886940510774;0.40110514628842603
0015palmer_sem1_num8lado1;0.8202831021269688;1.5456310750637148;0.34114756166857885
0016palmer_sem1_num8lado2;0.7704124132763378;1.6126651336447386;0.32551963207645185
0017palmer_sem1_num9lado1;1.0464936799510014;1.6575884703547654;0.24642510868106204
0018palmer_sem1_num9lado2;0.788095320990718;1.6407641839567821;0.3064473454674649
0019palmer_sem1_num10lado1;0.7632612842160188;1.698281984592649;0.3069650911551649
0020palmer_sem1_num10lado2;0.9056634528435465;1.4525445877965588;0.34551742455965306
0021palmer_sem1_num11lado1;0.8375597607734451;1.6013114501209207;0.32569360215482357
0022palmer_sem1_num11lado2;0.8230569288247304;1.497484803823481;0.3544403566182382
0023palmer_sem1_num12lado1;0.7766181818538269;1.5552874666063616;0.3347810001330935
0024palmer_sem1_num12lado2;0.9275784426285505;1.4531949209003003;0.3643542962754076
0025palmer_sem1_num13lado1;0.8822189492285781;1.436745666784284;0.3730541910595321
0026palmer_sem1_num13lado2;0.7746474916365951;1.6482328344633517;0.31651496726582934
0027palmer_sem1_num14lado1;0.7753255067676796;1.7465670482458466;0.2979129950926046
0028palmer_sem1_num14lado2;0.9101537713974558;1.5759439444595522;0.2982537726112467
0029palmer_sem1_num15lado1;0.8477609201031829;1.429585405540664;0.3810544435285132
0030palmer_sem1_num15lado2;0.7552552738721472;1.7860520556656843;0.2918597641023589
0031palmer_sem1_num16lado1;0.9734683984560762;1.6416456479354746;0.2759468350700671
0032palmer_sem1_num16lado2;0.7740996516327101;1.9051050589052605;0.2734253564196761
0033palmer_sem1_num17lado1;0.7469524113226136;1.622447170691179;0.31670875554382755
0034palmer_sem1_num17lado2;0.9299275720711686;1.3863476564237829;0.4015422529429042
0035palmer_sem1_num18lado1;0.939304665807444;1.3566284108083306;0.40831190437524606
0036palmer_sem1_num18lado2;0.7965865104994921;1.5307478084256279;0.3527843242118597
0037palmer_sem1_num19lado1;0.8964241682306798;1.444585083051664;0.3557185878588165
0038palmer_sem1_num19lado2;0.8358028857803173;1.6021747290641644;0.3291473814554106
0039palmer_sem1_num20lado1;0.7747017979470815;1.7438812528176417;0.29590655220783857
0040palmer_sem1_num20lado2;0.980903153271288;1.6105046891145212;0.2738998462863452
0041palmer_sem1_num21lado1;0.8325743399291026;1.455444173416238;0.3578188890228673
0042palmer_sem1_num21lado2;0.8996337709322378;1.5423463306552483;0.3265487530189934
