;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy5_IMG_0019_20170719;138.49077958890604;141.04578440473895;132.4957783319223;68.62621020965507;35.05308412012031;142.17762882632098;147.38347247227938;125.42276158657693;132.73354902995683
tommy5_IMG_0024_20170719;134.11017864351138;135.47798302558442;129.24137738179442;70.6872598223344;33.637465237590014;136.85368296235572;141.84297348322477;126.22959561515846;131.72924090238484
tommy5_IMG_0029_20170719;135.52679753140006;136.79028297985968;130.23757986200417;70.73479624583835;35.451976020858346;138.30799121272364;143.11672483844518;126.24176541691672;131.92924761150763
tommy5_IMG_0034_20170719;141.70434151690029;141.340892483014;138.19401544013633;75.68902919997785;25.968709979691788;143.2174026496235;148.02118201794337;127.5039909791881;130.2076207262553
tommy5_IMG_0039_20170719;139.06875823849023;140.25236231451117;135.5252706198917;69.45714556184271;28.16350495068516;141.52341042908026;146.73500198482867;126.53819064893403;130.8779078633152
tommy5_IMG_0044_20170719;131.9568814947881;130.10743767102124;127.80642913692772;72.79414602802069;31.29614944353353;133.04328182379186;136.65413149121585;128.39072156224995;129.94907368335976
tommy5_IMG_0049_20170719;135.62020934025992;138.27264808965262;129.29016995179256;68.79839164130372;38.63182544403006;139.54744281951946;144.48094932859652;125.33423482287023;132.95874620672225
tommy5_IMG_0054_20170719;134.1542395516297;131.53208450994157;129.79872793468866;66.91131092240727;28.90028697407621;134.90519261545495;138.34369574652777;128.87901124051572;129.74562768364913
tommy5_IMG_0059_20170719;136.4190429352602;136.4909928072845;131.77076160935;69.64602349956776;30.789364410525977;138.00265043840378;142.95197401147047;127.0506271411144;131.05732867289308
tommy5_IMG_0064_20170719;132.50256570921567;136.13886131562214;126.81885591706677;72.10080607710334;41.93384726776835;137.2849147327425;142.00644326962234;124.72346195871555;133.1740997272591
tommy5_IMG_0069_20170719;133.6210952570409;131.2387311854317;128.00829497635175;67.2993863441108;34.790539400077165;134.38152995238198;137.8530487772205;128.49174180660935;130.60881404588906
tommy5_IMG_0074_20170719;141.25570727550223;143.5306646541531;136.73083468185584;71.65954321925368;31.506976483017546;144.677241349362;150.0091854142554;125.7597792441844;131.84708407680685
tommy5_IMG_0079_20170719;140.8320509531643;141.91611782469926;136.5345563360911;71.38386145627929;30.472568060199475;143.24935202823144;148.44961727859226;126.48940304658922;131.2656079760195
tommy6_IMG_0009_20170802;129.12655895008143;128.01317857028036;123.34703216762043;64.63209637649321;37.82775968212378;130.29274258223307;134.31289646338806;127.65705576453188;131.2048078623328
tommy6_IMG_0014_20170802;124.59317827333747;120.35497449640276;121.1831060269133;87.83671725412238;31.92322491792767;125.13102308429428;126.83418436490841;130.05887517593308;128.36275172048255
tommy6_IMG_0019_20170802;132.37218875475108;132.91433348827942;127.89229524784236;68.69550071266289;33.116882407943244;134.583395791806;139.14045409039923;126.83219814082504;131.10648678403277
tommy6_IMG_0024_20170802;130.38635292977682;129.7669709549683;126.13327460339147;66.28500939723722;31.90984853457576;131.60916847958106;136.09889967037108;127.57247091745971;130.48933182495284
tommy6_IMG_0029_20170802;126.19646560955003;125.98019178937328;120.6528022811464;67.84744956213207;37.598761971486354;127.96901350889132;132.26219514237184;127.11759384287838;131.4937139649777
tommy6_IMG_0034_20170802;128.27303752018318;127.0513682703368;123.19749419286907;66.54800857383475;34.640205707733195;129.05212039537608;133.2253214797311;127.81474041164766;130.74289324166952
tommy6_IMG_0039_20170802;129.80453004213464;131.82215505285134;124.49892023310686;68.86754427797783;37.52136314193244;132.93526399784236;138.0257010754244;125.76828280615926;132.25452809972634
tommy6_IMG_0044_20170802;129.70287851508914;130.72595136700892;124.904579305627;66.69495706161409;36.72934098106353;131.92419729420297;136.84375424204106;126.41757987763279;131.55309065063085
tommy6_IMG_0049_20170802;133.9196581986597;128.58061217564014;128.1976965828797;65.62151862389975;33.54122108490869;134.57725889801597;136.0567107861261;130.5466179658029;129.4130302328032
tommy6_IMG_0054_20170802;134.84391934674358;138.20796980157965;127.77788148451788;61.27847034679355;39.71316786470836;139.24505372433342;144.4052341986204;124.86617571739613;133.59000835235554
tommy6_IMG_0059_20170802;135.57425843541023;131.7237928379165;130.30058812550013;66.99470799798883;29.95890355295496;136.13782313189444;138.8666029355817;129.542475724362;129.78809615188828
tommy6_IMG_0064_20170802;133.11414110055514;132.9211684210855;128.250220418685;71.0820731122471;33.484742773794714;134.53461511068602;139.2549256236247;127.16675541463049;131.10377483603395
tommy6_IMG_0069_20170802;135.67437266911006;134.2411912343357;130.7337606296618;65.79684971520275;32.50521201721108;136.99379640569632;140.93664734975138;127.99414620663296;130.6291856665452
tommy6_IMG_0074_20170802;135.02658414557257;130.5579892591521;130.61096180242984;70.14056996509915;27.896387477852077;135.5091096714963;137.6324438889603;130.14879980379445;128.98161449179457
tommy6_IMG_0079_20170802;135.39759902709906;133.1691481490412;131.99051769868828;67.83724812323176;24.598393248814016;136.02580065175613;139.79071734253543;128.7635740289745;129.3098608923111
tommy6_IMG_0084_20170802;135.17883222638392;135.89435805192971;130.47993849487025;69.83941390844693;32.41905666607725;137.39338260575633;142.32275530165825;126.65994554335634;131.36031064913053
tommy7_IMG_0009_20170816;112.09191961510844;110.62014275137888;107.83551402150849;70.15723460005144;37.56669476460691;113.23953075435101;116.14359119137946;128.18689735109098;130.04872090183113
tommy7_IMG_0014_20170816;108.89561615199543;104.36174937083834;103.94781653217164;75.26384764062142;37.93223763645975;109.14270985153748;110.30748975881987;129.94740790082378;128.94551103868386
tommy7_IMG_0019_20170816;115.21877238234808;112.48977896956804;109.16836616226568;75.14115525512975;40.92746556355738;116.53765151900794;118.81390523191016;128.7586714016775;130.68882005619142
tommy7_IMG_0024_20170816;118.25656360962864;112.45795813596679;112.30563442402908;76.2077056787087;38.28451899496671;118.94860851007016;119.50014009898693;130.7521178389882;129.3724020289459
tommy7_IMG_0029_20170816;121.55202511690172;122.38583674036207;116.84206211419752;73.77077796353453;37.891841349451305;123.79250742803713;128.04915063175153;126.58979820387518;131.35203403635117
tommy7_IMG_0034_20170816;116.746280120724;114.51805591278007;112.2205283082562;73.028928375593;35.7547262476959;117.75693791393392;120.61880606192128;128.64410654354924;129.93633042463279
