ind;Unnamed: 0;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
tommy_sem7_num10_;780;6.1;110.49376788355193;107.49094606110864;105.89166527684006;72.71054112033644;37.74937528003989;111.19112030294424;113.22554047509966;129.06715262595736;129.49711597025748
tommy_sem7_num11_;781;7.0;116.73766799598835;112.47385662116925;110.73700029314736;75.67443046691923;39.605926118595725;117.74311842184702;119.15702266544857;129.75539462033285;130.0306110425687
tommy_sem7_num12_;782;5.4;119.14915261881286;118.45194632657106;114.53129521122685;73.39985316956377;36.8231679600775;120.77472267098551;124.33397834683642;127.6169523737122;130.644182230492
tommy_sem7_num13_;783;6.9;113.86169877333569;108.97093199985888;107.22721055549304;72.72437846284505;43.18562683819202;114.53626166449652;115.31399766375172;130.0623064010613;130.10281373465722
tommy_sem7_num14_;784;6.0;112.28986223636831;109.7008078688075;106.00197547943995;67.77065645138532;44.405013062573325;113.25768286657488;115.4228027511199;128.61154134337852;130.79986742505432
tommy_sem7_num15_;785;6.0;117.41846538557137;114.53544797868959;112.07179833068984;66.49775085309679;37.7511236283407;118.26598827428276;120.57075183032907;128.97516056125332;130.11971796120366
tommy_sem7_num16_;786;7.1;114.71352065181864;111.71938267809428;110.44059367587593;72.41694959964063;35.7033456889842;115.5731470206583;117.70144624016736;129.19321977836006;129.40475406655452
tommy_sem7_num17_;787;6.0;110.01171016632132;107.48199281306316;106.51543032255968;66.12938543318829;36.31257672941784;110.88513058622908;112.76543415374144;129.00080110386835;128.99243032894123
tommy_sem7_num18_;788;6.0;120.23468366430185;119.61136086127722;115.19062710985723;70.91854854212212;36.117704070301365;121.8372673798654;125.55041743916466;127.52234121147332;130.93883049384502
tommy_sem7_num19_;789;6.9;116.21463259682571;110.25890691572607;109.5796251845644;76.58137677562908;42.69061869414164;116.93128687283765;117.25759899103164;130.7517341575396;129.67839856141225
tommy_sem7_num1_;790;5.8;119.89789053494738;119.11164079517216;114.55817212505586;75.13209637649321;38.71750584915081;122.30454745968193;125.17318456207121;127.70016433443716;130.93010508986876
tommy_sem7_num20_;791;5.8;117.06930624321274;116.90930474398613;110.70557689971994;72.20931511466014;41.91980797910957;119.3735967774777;122.85699976400856;127.04756170830116;131.95463566895648
tommy_sem7_num21_;792;6.4;114.66964722209231;113.65618197227421;109.67152977600234;67.55652818300433;38.69943338824889;116.13626916174923;119.33066093120392;127.76911098094743;130.77257617031216
tommy_sem7_num22_;793;6.8;116.4380732472743;113.78130316066378;110.54063215274904;73.19628909040816;41.888015350963826;117.86638579086436;119.82084155687609;128.7648768379201;130.48595744875615
tommy_sem7_num23_;794;7.0;117.82008745501871;113.27932887220295;111.97105013270901;80.87276491881178;39.81300782843711;118.69799485064884;119.93115502790694;129.97847800479394;129.82229543091995
tommy_sem7_num24_;795;6.8;120.21585941579214;114.84685938003479;112.6030091256068;78.9111843867884;43.088789560170156;120.95894075249664;121.97807645571231;130.24253808236523;130.54449211717142
tommy_sem7_num25_;796;7.2;122.00025461082713;118.35858951296166;116.0281001039507;71.88201614051962;36.51616547362777;122.85873425353672;125.07762379726972;129.3598475968614;130.25587034290874
tommy_sem7_num26_;797;6.4;113.68354891275469;109.63889514439772;109.598747617659;72.84619185278063;34.88491678554327;114.42591637697464;115.91179246638477;129.9441613998378;128.8317786532011
tommy_sem7_num27_;798;6.8;115.9445259189515;111.93092191227699;110.42040780489279;76.1173022862815;40.69721006111233;116.75097086674036;118.24759977624308;129.61400954146663;129.74546952807958
tommy_sem7_num28_;799;6.6;119.95993092418784;116.29607804260336;114.08083316602388;74.18769094766304;38.96106817010667;120.90398028891718;122.80655274623348;129.38395254852895;130.1917201052205
tommy_sem7_num29_;800;6.6;117.11491047396477;114.99844853117573;112.53822209112042;70.1724360657436;36.00389589574021;118.3163119438182;120.93644187387716;128.55412224803172;130.00758795090664
tommy_sem7_num2_;801;7.2;119.40456138717659;117.51767326886582;114.99698319521994;73.97973370475748;35.73765102045276;120.64875008999012;123.51619210204036;128.43754934163522;129.9891659667299
tommy_sem7_num30_;802;6.6;120.95458298087229;121.959380759524;114.5466607675212;74.7338261022162;42.41563922252958;123.83238451748643;127.73962574340747;126.33009576296013;132.38003415847732
tommy_sem7_num31_;803;6.0;120.07068554843784;119.4811750498328;116.10922856560215;70.66267409671319;34.05201709019303;121.83258750575048;125.3503026417199;127.66725555685049;130.26646043091094
tommy_sem7_num32_;804;6.6;121.95058270691857;118.65967229648744;115.93196156691064;73.85145555591278;36.72016577747626;122.77716919084507;125.22472286135029;129.15550797771633;130.32756145042976
tommy_sem7_num33_;805;6.4;119.37992070283144;116.99775728854236;113.17535938407158;76.30800379930591;39.54674989087923;120.93823570345086;123.36048705336044;128.59693772639102;130.80854091984418
tommy_sem7_num34_;806;6.8;115.8542436866687;112.70464453391956;109.14626749951047;67.0894157503858;42.24176956923636;116.66747885419242;118.7761637892645;128.94013525636214;130.83767419718257
tommy_sem7_num35_;807;6.2;117.36123559983808;116.8346661231682;112.0732878648452;74.75021899536857;37.82878324906818;119.02950179219738;122.8095223945147;127.4123156442455;131.1452365451389
tommy_sem7_num36_;808;6.6;121.5811110709448;117.12263871723252;114.5975040913537;82.59152404478165;39.55866295557314;122.5670437517724;124.27248898930628;129.72212013415566;130.5706735758352
tommy_sem7_num37_;809;6.4;119.4940275690247;119.11637827485569;113.02328403918415;68.95048195725988;40.79209156302164;121.85018114556424;125.14105260889988;127.25262216743292;131.79661118411886
tommy_sem7_num38_;810;6.6;117.80086567219827;116.09905788175688;112.30328218436537;66.56721022840935;36.442276373602745;119.1189820787162;122.21171387723444;128.23674962201179;130.6562130495899
tommy_sem7_num39_;811;6.2;114.46224845812974;115.62513917801745;107.37586063198376;70.53352225486361;46.55227989980767;117.34611044466412;121.13089300433849;126.09574110801218;132.88807723573422
tommy_sem7_num3_;812;6.4;116.16062703572015;113.57281080545988;111.75700234789468;70.11869317339496;36.601521224386026;117.2438083763752;119.51580094170043;128.91456833548565;129.70082386018592
tommy_sem7_num40_;813;6.6;116.74414213204088;114.5122445373308;111.46049080191544;73.93003367287523;39.347873553362;118.217805815929;120.62995191311586;128.55431046069458;130.32142042623136
tommy_sem7_num41_;814;6.8;117.76016349312971;114.6858539212445;111.59651073147076;69.06515295013861;40.05676829793275;118.63976665279176;120.92183905428385;128.9680366394015;130.52450903398454
tommy_sem7_num42_;815;6.6;124.10263068500478;121.18029969350135;119.31913896167343;68.50221350817688;32.789083288536055;124.90024198611471;127.60280271093214;129.08500600918603;129.79631092017462
tommy_sem7_num43_;816;6.6;115.71304116164049;113.62205504673388;109.84754768723923;70.41448371793018;43.33353037954046;117.1322820495131;119.36142295694373;128.3506064220929;130.7856314702289
tommy_sem7_num44_;817;6.4;117.33743105740996;115.63965012211528;112.85534841044372;70.36232291153156;36.40754646732583;118.74960644226739;121.56030307260795;128.32763493262746;130.07813217239834
tommy_sem7_num45_;818;6.8;114.25281372259165;112.64166547904358;108.35082893389023;75.47437500223266;42.54113427297619;116.22869474515043;118.54151353456686;128.11986690707874;130.91507749204285
tommy_sem7_num46_;819;6.8;118.05199095730808;114.58944374227501;112.19944332700157;71.7337135485879;39.53097512076157;118.87581382999149;120.98321932289879;129.26000926327805;130.22345869346032
tommy_sem7_num47_;820;7.4;112.29380390182936;107.78797659331062;106.05481384026173;81.9084380001143;42.679381942904136;113.30303000618893;114.52096531104428;129.85492054992034;130.08713696501164
tommy_sem7_num48_;821;7.2;113.41358903798547;109.8223508286269;108.18162845704019;79.17259282590484;38.580102482454436;114.25349234400898;116.3261607954586;129.39761264628345;129.77068290832545
tommy_sem7_num49_;822;6.6;112.1863464838038;111.35873913541651;106.84631916982808;72.84891571756579;40.50684689340388;113.74600196191427;117.20249687093657;127.59456595101202;131.014320600289
