ind;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
1229tommy_sem4_num15;6.6;50.36016341;50.0866784;29.39916312;29.40943479;96.26721359999999;56.07995179;51.60052217;125.4100145;138.3760471
1231tommy_sem4_num16;6.2;53.8582943;63.73324387;27.52793992;29.18638862;115.83814869999999;64.06730637;64.08459683;119.6275456;144.2799716
1233tommy_sem4_num17;6.6;50.17472772;50.21307539;28.31193538;25.52635616;101.4954075;56.24612341;51.52214872;125.16588429999999;139.0215243
1235tommy_sem4_num18;5.8;56.83267136;65.87807384;30.30511644;27.56853605;106.7132043;67.35162917;66.635992;120.3887519;143.40015359999998
1237tommy_sem4_num19;5.8;49.03745966;48.16112327;27.49962555;24.00205554;100.82924090000002;53.33318849;49.28481408;125.63367040000001;138.6002451
1239tommy_sem4_num20;5.8;53.48629684;60.86497018;27.58927954;27.17555605;110.0765057;62.09715036;61.48573624;121.07653140000001;143.00686130000003
1241tommy_sem4_num21;5.8;56.80485783;64.45063096;28.24366769;26.54178887;113.66406809999998;66.78307809;65.49863009;120.7561308;144.10818419999998
1243tommy_sem4_num22;6.2;55.68740099;73.49934094;28.201086;32.58607519;123.40651640000002;73.42996639;73.12568178;115.9337315;147.0636996
1245tommy_sem4_num23;6.6;49.29934444;54.62585299;27.51617034;26.34964292;98.86306096;56.81913433;55.02737099;122.57463600000001;140.3283884
1247tommy_sem4_num24;6.8;56.47068207;73.69332601;28.12729093;32.00149076;122.89364040000001;73.67191283;73.41488923;116.20179250000001;147.1395372
1249tommy_sem4_num25;5.8;56.36951532;54.19905959;29.44582343;31.74553521;107.7636098;63.54458086;56.65484049;126.0014956;140.319439
1251tommy_sem4_num26;6.6;54.382161399999994;64.74261213;28.55989212;28.20763253;110.43387390000001;65.53733893;64.98964941;119.72417069999999;143.6986244
1253tommy_sem4_num27;6.8;53.26177882;57.52597226;28.61885241;25.75388915;104.6600839;59.27960629;58.51850834;122.6446666;141.4684885
1255tommy_sem4_num28;6.6;50.27380814;54.97811627;27.23904749;25.73552088;105.30080890000002;57.46541111;55.63903815;122.6599327;140.9094916
1257tommy_sem4_num29;6.8;54.1393032;60.44300854;29.17925096;24.49955632;99.27117085;63.16281414;61.44267536;122.16231529999999;141.2620862
1259tommy_sem4_num30;6.4;53.73540407;58.76227706;28.94004045;24.215551100000003;101.3517592;61.75043035;59.75346326;122.49005420000002;141.32069040000002
1261tommy_sem4_num31;6.4;54.88709569;57.55006037;29.04531994;24.87915213;102.4720476;62.54822331;58.97543835;123.71073;140.96330590000002
1263tommy_sem4_num32;6.8;52.87998383;54.74617696;27.85564139;24.18694175;99.94033625;59.09304046;56.07943003;124.1396179;140.1972263
1265tommy_sem4_num33;6.6;52.34956242;52.33523533;27.80393783;22.55268987;102.66396040000001;58.25272175;53.99595325;124.99115220000002;139.7789895
1267tommy_sem4_num34;6.6;56.78857358;64.86265563;29.41843254;26.73614159;107.11882320000001;65.58107498;65.73017542;120.73171359999999;143.3592416
1269tommy_sem4_num35;5.8;49.11311691;53.69837144;27.53960398;27.82440212;104.2546167;56.55555439;54.19445482;122.8858361;140.38134580000002
1271tommy_sem4_num36;5.8;57.19671828;73.00456696;28.64717031;32.11478082;122.86713710000001;72.95209114;72.97835656;116.60905459999998;147.0874843
1273tommy_sem4_num37;6.2;46.66678189;45.84774134;28.30858158;25.31647877;87.85394752;49.85313484;46.71815123;125.8580581;136.8437846
1275tommy_sem4_num38;6.6;45.87362897;57.62164724;27.20303046;30.10863033;101.05986209999999;57.68628497;57.00855771;119.92406470000002;140.91652539999998
1277tommy_sem4_num39;6.8;49.41489201;58.64549567;27.63631273;28.82840052;102.87807690000001;58.85565655;58.62351688;120.67129979999999;141.57388280000004
