;sst;mean_R_full;mean_G_full;mean_B_full;mean_H_full;mean_S_full;mean_V_full;mean_L_full;mean_a_full;mean_b_full
0065palmer_sem1_num33lado1;5.1;60.869337466302156;74.23676019970272;32.463999358972025;27.70513680474618;98.93845860447423;73.99297850499998;74.40443327744144;119.08939606400543;143.82799044127168
0067palmer_sem1_num34lado1;4.3;56.22540999547322;74.5871798952588;31.528836692509874;30.3049697482615;102.94758754426523;74.33601919341181;74.11370807574457;117.21608491128605;144.1001873818829
0069palmer_sem1_num35lado1;6.0;45.16793673519408;50.718433819521856;31.075814528869945;26.7590093908114;70.42242310118222;50.560325802783396;50.50837467613455;123.56700300911184;136.21194308395528
0071palmer_sem1_num36lado1;4.3;54.63805732694958;73.4084813978463;31.240363262827945;30.204417455600858;101.2430008484402;73.21846195579221;72.65132629608155;117.24118927510193;143.6061697149087
0073palmer_sem1_num37lado1;6.0;48.79676730151391;45.29848255294718;31.069238422683878;17.913364706603048;71.1298938690855;49.66555055597663;46.74754181332232;127.2261003069505;135.00771478328596
0075palmer_sem1_num38lado1;4.5;45.41720070037557;51.76031485193283;29.46088777932611;25.354919306609613;76.37171077568415;51.84445034557614;51.534547413379705;123.1251258202003;137.04595753910428
0077palmer_sem1_num39lado1;4.4;54.300112387010316;63.11055459952803;32.003713724030256;24.32284392573693;86.69963384919619;64.22033683487287;63.732137563247186;121.674057365833;139.96853950191132
0079palmer_sem1_num40lado1;3.8;44.41129129954454;51.346366658374976;30.58894272802165;26.716024072605123;72.31680017577769;51.16739852540661;50.90178402497834;122.97488712862928;136.6195685501941
0185palmer_sem2_num33lado1;4.4;50.91346234961322;60.6799851335944;32.481701321382424;27.53111902647473;84.98954960230594;60.924531738609936;61.0761937701789;121.1531186425228;139.55947815686508
0187palmer_sem2_num34lado1;4.6;47.951597765695475;65.00622100243318;28.762762946943393;31.545419740518433;100.77059921379906;64.85013966951284;64.02123179429562;118.090465991521;141.89484259455125
