fold;r2;rmse
1;0.10715510493682356;0.6367451587800169
2;0.22817970110436314;0.5904977056603261
3;0.1198129340815367;0.6125352103189386
4;0.31623574359991924;0.5438008085780791
5;0.3857590020247984;0.497726294494478
6;0.2808662418100719;0.5167439122528145
7;0.43833461388534845;0.46875800801116246
