fold;r2;rmse
1;0.09448621932531154;0.6342396355399764
2;0.21633392812089436;0.6761025024363445
3;0.2188920563544572;0.5470114311133031
4;0.24582900822476172;0.6006815070342936
5;0.2870339837448965;0.5519359196291329
6;0.22377746704283286;0.570834981304386
7;0.23118949903074137;0.7281049676270407
